state,zip_code,Rate
AK,99500,8.48
AK,99600,8.69
AK,99700,8.41
AK,99800,7.64
AK,99900,9.00
AL,35000,5.96
AL,35100,5.93
AL,35200,5.01
AL,35400,7.80
AL,35500,6.92
AL,35600,6.70
AL,35700,5.83
AL,35800,5.48
AL,35900,5.98
AL,36000,7.06
AL,36100,6.16
AL,36200,6.16
AL,36300,6.21
AL,36400,8.79
AL,36500,8.02
AL,36600,7.00
AL,36700,9.24
AL,36800,6.26
AL,36900,8.54
AR,71600,7.21
AR,71700,6.28
AR,71800,5.85
AR,71900,5.84
AR,72000,5.80
AR,72100,5.82
AR,72200,4.73
AR,72300,7.05
AR,72400,6.70
AR,72500,6.46
AR,72600,5.48
AR,72700,3.81
AR,72800,5.48
AR,72900,5.01
AZ,85000,5.17
AZ,85200,6.48
AZ,85300,9.21
AZ,85500,7.77
AZ,85600,6.43
AZ,85700,5.54
AZ,85900,9.40
AZ,86000,9.42
AZ,86300,6.07
AZ,86400,7.29
AZ,86500,11.55
CA,90600,4.48
CA,90700,4.48
CA,91300,5.68
CA,91700,6.72
CA,92200,15.37
CA,92300,6.27
CA,92500,6.72
CA,92600,4.48
CA,92700,4.48
CA,92800,5.60
CA,93000,5.68
CA,93200,10.64
CA,93300,10.21
CA,93400,8.16
CA,93500,7.40
CA,93600,10.20
CA,93700,10.18
CA,93800,10.18
CA,93900,8.16
CA,94200,6.00
CA,94500,5.16
CA,94600,4.74
CA,94700,4.74
CA,94900,4.02
CA,95000,8.16
CA,95200,6.43
CA,95300,8.83
CA,95400,6.00
CA,95500,7.19
CA,95600,7.28
CA,95700,5.73
CA,95800,6.00
CA,95900,9.20
CA,96000,8.51
CA,96100,7.73
CO,80000,3.69
CO,80100,3.74
CO,80200,3.85
CO,80300,3.18
CO,80400,3.32
CO,80500,3.43
CO,80600,3.98
CO,80700,3.10
CO,80800,3.27
CO,80900,4.62
CO,81000,4.66
CO,81100,5.10
CO,81200,4.27
CO,81300,4.00
CO,81400,4.37
CO,81500,5.56
CO,81600,4.24
CT,6000,5.23
CT,6100,5.87
CT,6200,5.50
CT,6300,6.21
CT,6400,5.31
CT,6600,5.27
CT,6700,5.15
CT,6800,5.27
CT,6900,5.27
DE,19900,5.19
FL,32000,5.53
FL,32100,6.30
FL,32200,5.80
FL,32300,5.73
FL,32400,5.60
FL,32500,4.90
FL,32600,5.63
FL,32700,5.42
FL,32800,5.45
FL,32900,5.90
FL,33000,4.83
FL,33100,5.90
FL,33200,5.90
FL,33300,5.10
FL,33400,7.00
FL,33500,6.13
FL,33600,5.00
FL,33700,4.90
FL,33800,6.58
FL,33900,7.20
FL,34100,5.15
FL,34200,5.00
FL,34400,6.78
FL,34600,5.87
FL,34700,6.02
FL,34900,5.75
GA,30000,5.62
GA,30100,5.90
GA,30200,6.57
GA,30300,6.00
GA,30400,7.87
GA,30500,5.81
GA,30600,6.09
GA,30700,6.09
GA,30800,7.38
GA,30900,6.20
GA,31000,7.56
GA,31100,6.00
GA,31200,6.60
GA,31300,5.66
GA,31400,5.80
GA,31500,6.70
GA,31600,6.35
GA,31700,7.13
GA,31800,7.45
GA,31900,7.40
GA,39900,6.00
HI,96700,3.93
HI,96800,3.39
IA,50000,3.50
IA,50100,3.69
IA,50200,3.60
IA,50300,3.58
IA,50400,3.38
IA,50500,3.61
IA,50600,3.88
IA,50800,3.35
IA,50900,3.58
IA,51000,3.53
IA,51100,3.72
IA,51200,2.39
IA,51300,3.48
IA,51400,3.36
IA,51500,3.66
IA,51600,3.46
IA,52000,4.00
IA,52100,4.15
IA,52200,3.76
IA,52300,3.68
IA,52400,3.71
IA,52500,4.14
IA,52600,3.94
IA,52700,3.83
IA,52800,4.61
ID,83200,4.63
ID,83300,3.60
ID,83400,3.89
ID,83500,5.92
ID,83600,5.45
ID,83700,3.59
ID,83800,6.02
IL,60000,5.77
IL,60100,6.04
IL,60200,6.09
IL,60300,6.09
IL,60400,6.11
IL,60500,5.70
IL,60600,6.09
IL,60700,6.09
IL,60800,6.09
IL,60900,5.98
IL,61000,6.27
IL,61100,7.09
IL,61200,6.07
IL,61300,6.11
IL,61400,6.38
IL,61500,6.56
IL,61600,6.61
IL,61700,5.82
IL,61800,5.82
IL,61900,5.52
IL,62000,6.44
IL,62200,5.44
IL,62300,5.24
IL,62400,6.17
IL,62500,6.37
IL,62600,5.73
IL,62700,5.28
IL,62800,6.36
IL,62900,7.56
IN,46000,4.14
IN,46100,4.65
IN,46200,4.17
IN,46300,5.93
IN,46400,6.78
IN,46500,4.50
IN,46700,4.11
IN,46800,4.55
IN,46900,4.87
IN,47000,5.05
IN,47100,4.96
IN,47200,4.32
IN,47300,5.40
IN,47400,5.86
IN,47500,4.16
IN,47600,4.04
IN,47700,4.25
IN,47800,6.06
IN,47900,4.99
KS,66000,4.80
KS,66100,6.09
KS,66200,3.41
KS,66400,3.98
KS,66500,3.98
KS,66600,4.30
KS,66700,5.67
KS,66800,4.36
KS,66900,3.65
KS,67000,4.27
KS,67100,4.17
KS,67200,4.81
KS,67300,5.76
KS,67400,3.91
KS,67500,3.80
KS,67600,3.61
KS,67700,2.73
KS,67800,3.02
KS,67900,4.15
KY,40000,4.73
KY,40100,5.47
KY,40200,4.88
KY,40300,5.51
KY,40400,6.22
KY,40500,3.92
KY,40600,4.34
KY,40700,7.18
KY,40800,10.55
KY,40900,9.63
KY,41000,5.41
KY,41100,8.78
KY,41200,9.11
KY,41300,9.23
KY,41400,11.30
KY,41500,10.35
KY,41600,12.05
KY,41700,9.87
KY,41800,10.55
KY,41900,3.92
KY,42000,6.19
KY,42100,5.22
KY,42200,5.60
KY,42300,5.82
KY,42400,5.67
KY,42500,5.85
KY,42600,9.43
KY,42700,6.00
MA,1000,5.32
MA,1100,6.77
MA,1200,4.99
MA,1300,5.13
MA,1400,4.68
MA,1500,6.03
MA,1600,5.30
MA,1700,4.68
MA,1800,4.61
MA,1900,5.17
MA,2000,5.29
MA,2100,4.34
MA,2200,4.34
MA,2300,5.29
MA,2400,4.20
MA,2500,6.22
MA,2600,6.37
MA,2700,5.77
MA,5500,5.17
MD,20600,4.87
MD,20700,4.29
MD,20800,3.98
MD,20900,3.98
MD,21000,4.68
MD,21100,4.68
MD,21200,6.58
MD,21500,6.78
MD,21600,5.88
MD,21700,5.12
MD,21800,8.29
MD,21900,6.02
ME,3900,3.93
ME,4000,4.07
ME,4100,3.39
ME,4200,4.25
ME,4300,4.34
ME,4400,5.80
ME,4500,4.04
ME,4600,5.52
ME,4700,5.37
ME,4800,4.58
ME,4900,5.09
MI,48000,6.65
MI,48100,5.55
MI,48200,6.88
MI,48300,5.85
MI,48400,6.06
MI,48500,6.20
MI,48600,6.57
MI,48700,6.51
MI,48800,4.92
MI,48900,4.73
MI,49000,4.73
MI,49100,5.13
MI,49200,5.14
MI,49300,5.35
MI,49400,5.28
MI,49500,3.90
MI,49600,6.06
MI,49700,5.74
MI,49800,6.38
MI,49900,7.43
MN,55000,4.00
MN,55100,3.31
MN,55300,3.72
MN,55400,3.35
MN,55500,3.38
MN,55600,4.62
MN,55700,5.74
MN,55900,3.52
MN,56000,3.86
MN,56100,3.75
MN,56200,4.21
MN,56300,4.68
MN,56400,5.76
MN,56500,4.26
MN,56600,6.23
MN,56700,4.99
MO,63000,5.19
MO,63100,6.04
MO,63300,4.81
MO,63400,4.90
MO,63500,5.26
MO,63600,6.44
MO,63700,5.49
MO,63800,6.94
MO,63900,6.98
MO,64000,5.00
MO,64100,4.85
MO,64400,4.37
MO,64500,4.61
MO,64600,4.89
MO,64700,5.20
MO,64800,4.57
MO,64900,5.85
MO,65000,5.03
MO,65100,3.98
MO,65200,4.97
MO,65300,5.69
MO,65400,6.31
MO,65500,6.35
MO,65600,6.01
MO,65700,6.01
MO,65800,4.12
MS,38600,7.87
MS,38700,11.31
MS,38800,6.16
MS,38900,8.29
MS,39000,8.29
MS,39100,8.11
MS,39200,5.13
MS,39300,7.67
MS,39400,6.88
MS,39500,6.81
MS,39600,8.62
MS,39700,7.59
MT,59000,4.23
MT,59100,3.26
MT,59200,3.52
MT,59300,3.43
MT,59400,4.42
MT,59500,3.96
MT,59600,4.18
MT,59700,3.71
MT,59800,5.88
MT,59900,6.88
NC,27000,5.57
NC,27100,5.50
NC,27200,5.75
NC,27300,5.97
NC,27400,5.88
NC,27500,6.06
NC,27600,4.64
NC,27700,5.01
NC,27800,7.59
NC,27900,7.38
NC,28000,5.86
NC,28100,5.86
NC,28200,5.36
NC,28300,7.34
NC,28400,6.50
NC,28500,5.99
NC,28600,5.61
NC,28700,6.38
NC,28800,4.36
NC,28900,6.30
ND,58000,2.48
ND,58100,2.22
ND,58200,3.47
ND,58300,4.42
ND,58400,2.98
ND,58500,3.77
ND,58600,2.55
ND,58700,3.10
ND,58800,2.00
NE,68000,3.32
NE,68100,3.03
NE,68300,3.01
NE,68400,3.01
NE,68500,2.61
NE,68600,2.82
NE,68700,2.74
NE,68800,3.15
NE,68900,2.64
NE,69000,2.56
NE,69100,2.98
NE,69200,3.00
NE,69300,2.70
NH,3000,3.46
NH,3100,3.36
NH,3200,3.30
NH,3300,3.12
NH,3400,3.43
NH,3500,3.81
NH,3600,3.08
NH,3700,2.90
NH,3800,3.43
NJ,7000,5.36
NJ,7100,6.72
NJ,7200,5.85
NJ,7300,5.27
NJ,7400,5.23
NJ,7500,6.87
NJ,7600,4.56
NJ,7700,4.98
NJ,7800,4.70
NJ,7900,4.65
NJ,8000,6.64
NJ,8100,6.29
NJ,8200,7.28
NJ,8300,7.75
NJ,8400,9.37
NJ,8500,4.93
NJ,8600,5.01
NJ,8700,5.50
NJ,8800,4.69
NJ,8900,4.99
NM,87000,7.38
NM,87100,6.32
NM,87200,5.93
NM,87300,7.48
NM,87400,7.04
NM,87500,8.50
NM,87700,7.84
NM,87800,7.79
NM,87900,9.19
NM,88000,9.54
NM,88100,5.97
NM,88200,5.83
NM,88300,7.05
NM,88400,6.63
NV,88900,6.80
NV,89000,6.58
NV,89100,6.80
NV,89300,6.27
NV,89400,7.63
NV,89500,6.26
NV,89700,6.76
NV,89800,5.91
NY,500,4.81
NY,6300,4.81
NY,10300,5.75
NY,10400,7.74
NY,10500,4.48
NY,10600,4.61
NY,10700,4.61
NY,10800,4.61
NY,10900,4.65
NY,11000,4.65
NY,11100,4.98
NY,11200,5.87
NY,11300,4.98
NY,11400,4.98
NY,11500,4.32
NY,11600,4.98
NY,11700,4.56
NY,11800,4.56
NY,11900,4.81
NY,12000,5.23
NY,12100,5.44
NY,12200,4.41
NY,12300,4.76
NY,12400,5.28
NY,12500,4.52
NY,12600,4.58
NY,12700,5.06
NY,12800,5.61
NY,12900,6.19
NY,13000,5.48
NY,13100,5.48
NY,13200,4.97
NY,13300,6.24
NY,13400,6.23
NY,13500,5.38
NY,13600,6.79
NY,13700,5.75
NY,13800,5.75
NY,13900,6.07
NY,14000,5.88
NY,14100,5.90
NY,14200,5.43
NY,14300,6.24
NY,14400,5.38
NY,14500,5.47
NY,14600,5.15
NY,14700,6.04
NY,14800,5.55
NY,14900,5.90
OH,43000,4.46
OH,43100,4.69
OH,43200,4.08
OH,43300,4.38
OH,43400,5.36
OH,43500,4.91
OH,43600,4.80
OH,43700,6.77
OH,43800,5.93
OH,43900,7.17
OH,44000,5.05
OH,44100,5.00
OH,44200,4.43
OH,44300,4.94
OH,44400,5.83
OH,44500,6.11
OH,44600,5.23
OH,44700,5.27
OH,44800,5.02
OH,44900,5.56
OH,45000,4.50
OH,45100,5.67
OH,45200,5.05
OH,45300,4.42
OH,45400,4.69
OH,45500,5.00
OH,45600,6.84
OH,45700,7.55
OH,45800,4.15
OH,45900,4.50
OK,73000,4.12
OK,73100,3.59
OK,73400,4.96
OK,73500,4.55
OK,73600,4.59
OK,73700,3.21
OK,73800,3.38
OK,73900,2.68
OK,74000,4.52
OK,74100,4.61
OK,74300,4.67
OK,74400,5.71
OK,74500,7.00
OK,74600,4.37
OK,74700,5.92
OK,74800,5.21
OK,74900,6.56
OR,97000,5.77
OR,97100,5.52
OR,97200,4.99
OR,97300,5.86
OR,97400,7.05
OR,97500,7.39
OR,97600,7.93
OR,97700,7.19
OR,97800,6.79
OR,97900,6.90
PA,15000,5.71
PA,15100,4.81
PA,15200,4.81
PA,15300,5.58
PA,15400,6.13
PA,15500,6.18
PA,15600,6.24
PA,15700,6.08
PA,15800,6.35
PA,15900,6.09
PA,16000,5.55
PA,16100,5.59
PA,16200,6.47
PA,16300,5.75
PA,16400,5.08
PA,16500,5.33
PA,16600,5.77
PA,16700,5.82
PA,16800,5.94
PA,16900,6.26
PA,17000,4.88
PA,17100,4.50
PA,17200,5.48
PA,17300,4.33
PA,17400,4.59
PA,17500,3.99
PA,17600,3.99
PA,17700,6.17
PA,17800,4.89
PA,17900,5.80
PA,18000,5.10
PA,18100,5.20
PA,18200,6.07
PA,18300,5.88
PA,18400,5.86
PA,18500,5.68
PA,18600,5.91
PA,18700,6.29
PA,18800,5.55
PA,18900,4.27
PA,19000,5.04
PA,19100,5.80
PA,19200,6.87
PA,19300,4.21
PA,19400,3.86
PA,19500,4.51
PA,19600,4.76
RI,2800,5.53
RI,2900,6.39
SC,29000,7.48
SC,29100,6.61
SC,29200,5.25
SC,29300,6.50
SC,29400,6.98
SC,29500,8.17
SC,29600,5.92
SC,29700,6.68
SC,29800,8.23
SC,29900,6.51
SD,57000,2.96
SD,57100,2.75
SD,57200,3.75
SD,57300,3.14
SD,57400,3.58
SD,57500,3.74
SD,57600,4.86
SD,57700,4.57
TN,37000,5.82
TN,37100,5.59
TN,37200,4.46
TN,37300,6.35
TN,37400,5.46
TN,37500,6.63
TN,37600,6.49
TN,37700,6.95
TN,37800,6.96
TN,37900,4.77
TN,38000,7.61
TN,38100,6.63
TN,38200,7.70
TN,38300,7.42
TN,38400,6.28
TN,38500,7.05
TX,73300,3.27
TX,75000,3.85
TX,75100,4.20
TX,75200,4.27
TX,75300,4.27
TX,75400,4.76
TX,75500,6.60
TX,75600,6.01
TX,75700,4.85
TX,75800,4.93
TX,75900,6.45
TX,76000,4.43
TX,76100,4.14
TX,76200,4.11
TX,76300,4.17
TX,76400,4.19
TX,76500,4.52
TX,76600,4.63
TX,76800,4.26
TX,76900,4.46
TX,77000,4.62
TX,77200,4.62
TX,77300,5.43
TX,77400,4.83
TX,77500,5.33
TX,77600,6.44
TX,77700,6.98
TX,77800,4.60
TX,77900,4.22
TX,78000,4.40
TX,78100,4.19
TX,78200,3.78
TX,78300,5.96
TX,78400,4.93
TX,78500,9.89
TX,78600,3.62
TX,78700,3.36
TX,78800,6.15
TX,78900,3.85
TX,79000,3.82
TX,79100,3.15
TX,79200,4.66
TX,79300,4.53
TX,79400,3.42
TX,79500,4.26
TX,79600,3.69
TX,79700,4.30
TX,79800,5.85
TX,79900,5.23
TX,88500,5.23
UT,84000,4.24
UT,84200,4.01
UT,84300,3.50
UT,84400,4.01
UT,84500,6.38
UT,84600,3.80
UT,84700,5.46
VA,20100,3.94
VA,22000,3.63
VA,22100,3.84
VA,22200,2.82
VA,22300,3.43
VA,22400,5.18
VA,22500,5.17
VA,22600,4.53
VA,22700,3.96
VA,22800,4.95
VA,22900,3.99
VA,23000,4.41
VA,23100,4.57
VA,23200,4.48
VA,23300,5.18
VA,23400,5.08
VA,23500,4.93
VA,23600,4.88
VA,23700,6.23
VA,23800,5.82
VA,23900,5.70
VA,24000,4.81
VA,24100,5.15
VA,24200,7.08
VA,24300,5.56
VA,24400,4.77
VA,24500,5.20
VA,24600,8.70
VT,5000,3.86
VT,5100,3.77
VT,5200,4.34
VT,5300,4.01
VT,5400,3.68
VT,5600,3.85
VT,5700,3.91
VT,5800,5.79
VT,5900,6.82
WA,98000,4.92
WA,98100,4.97
WA,98200,5.46
WA,98300,7.05
WA,98400,6.35
WA,98500,7.49
WA,98600,7.76
WA,98800,6.52
WA,98900,7.09
WA,99000,6.40
WA,99100,7.22
WA,99200,6.40
WA,99300,6.58
WA,99400,4.70
WI,53000,4.08
WI,53100,4.93
WI,53200,5.85
WI,53400,5.67
WI,53500,4.25
WI,53700,3.19
WI,53800,4.68
WI,53900,5.17
WI,54000,4.42
WI,54100,5.77
WI,54200,5.05
WI,54300,4.10
WI,54400,4.98
WI,54500,6.45
WI,54600,5.03
WI,54700,4.64
WI,54800,6.22
WI,54900,5.02
WV,24700,8.49
WV,24800,11.92
WV,24900,6.87
WV,25000,8.86
WV,25100,8.50
WV,25200,8.86
WV,25300,5.97
WV,25400,5.05
WV,25500,8.15
WV,25600,10.51
WV,25700,6.20
WV,25800,8.21
WV,25900,7.74
WV,26000,7.28
WV,26100,8.88
WV,26200,7.66
WV,26300,7.56
WV,26400,7.41
WV,26500,6.82
WV,26600,9.13
WV,26700,6.65
WV,26800,6.36
WY,82000,3.46
WY,82100,4.21
WY,82200,3.37
WY,82300,4.55
WY,82400,4.12
WY,82500,5.43
WY,82600,4.45
WY,82700,3.52
WY,82800,4.48
WY,82900,4.87
WY,83000,3.90
WY,83100,4.89
